Date,Long,Short,Change long,Change short,Net position
16/04/24,321728,453603,1548,5526,-131875,
09/04/24,320180,448077,-24013,-14846,-127897,
02/04/24,344193,462923,-1552,-95,-118730,
26/03/24,345745,463018,-4520,9158,-117273,
19/03/24,350265,453860,-1438,664,-103595,
12/03/24,351703,453196,17279,-9976,-101493,
05/03/24,334424,463172,8096,-4709,-128748,
27/02/24,326328,467881,-30006,-42325,-141553,
20/02/24,356334,510206,21830,39145,-153872,
13/02/24,334504,471061,33484,55810,-136557,
06/02/24,301020,415251,21481,32529,-114231,
30/01/24,279539,382722,8633,31235,-103183,
23/01/24,270906,351487,17399,41472,-80581,
16/01/24,253507,310015,6887,-2752,-56508,
09/01/24,246620,312767,-35110,-60610,-66147,
02/01/24,281730,373377,-997,-15470,-91647,
26/12/23,282727,388847,-10721,-11119,-106120,
19/12/23,293448,399966,-18165,-23264,-106518,
12/12/23,311613,423230,8106,8644,-111617,
05/12/23,303507,414586,2915,6105,-111079,
28/11/23,300592,408481,29331,16961,-107889,
21/11/23,271261,391520,-4732,12900,-120259,
14/11/23,275993,378620,23273,55930,-102627,
07/11/23,252720,322690,39134,54452,-69970,
31/10/23,213586,268238,10281,-5339,-54652,
24/10/23,203305,273577,11856,24802,-70272,
17/10/23,191449,248775,-10203,-3536,-57326,
10/10/23,201652,252311,-22543,-51084,-50659,
03/10/23,224195,303395,-3339,-18298,-79200,
26/09/23,227534,321693,1112,1352,-94159,
19/09/23,226422,320341,-16409,-34534,-93919,
12/09/23,242831,354875,-3822,-10057,-112044,
05/09/23,246653,364932,8157,10097,-118279,
29/08/23,238496,354835,5187,14189,-116339,
22/08/23,233309,340646,6176,18330,-107337,
15/08/23,227133,322316,-15255,-27915,-95183,
08/08/23,242388,350231,-19848,-19026,-107843,
01/08/23,262236,369257,16457,26357,-107021,
25/07/23,245779,342900,-6596,-5237,-97121,
18/07/23,252375,348137,591,9598,-95762,
11/07/23,251784,338539,-3099,-15119,-86755,
03/07/23,254883,353658,4326,10301,-98775,
27/06/23,250557,343357,-6962,-23477,-92800,
20/06/23,257519,366834,-15818,-29484,-109315,
13/06/23,273337,396318,-3957,-7828,-122981,
06/06/23,277294,404146,2634,23316,-126852,
30/05/23,274660,380830,7752,1644,-106170,
23/05/23,266908,379186,-1535,-13232,-112278,
16/05/23,268443,392418,-6620,-21473,-123975,
09/05/23,275063,413891,1144,-1317,-138828,
02/05/23,273919,415208,14055,19194,-141289,
25/04/23,259864,396014,-9148,-12984,-136150,
18/04/23,269012,408998,-19350,-20259,-139986,
11/04/23,288362,429257,-27590,-17180,-140895,
04/04/23,315952,446437,22433,26721,-130485,
28/03/23,293519,419716,21205,2721,-126197,
21/03/23,272314,416995,16583,13431,-144681,
14/03/23,255731,403564,-6258,-14824,-147833,
07/03/23,261989,418388,-8379,-32893,-156399,
28/02/23,270368,451281,-20924,-19275,-180913,
21/02/23,291292,470556,16858,21940,-179264,
14/02/23,274434,448616,8865,4953,-174182,
07/02/23,265569,443663,33587,42467,-178094,
31/01/23,231982,401196,28673,26915,-169214,
24/01/23,203309,374281,20991,14744,-170972,
17/01/23,182318,359537,5857,10573,-177219,
10/01/23,176461,348964,16595,19285,-172503,
03/01/23,159866,329679,5001,14212,-169813,
27/12/22,154865,315467,2427,10273,-160602,
20/12/22,152438,305194,16332,15407,-152756,
13/12/22,136106,289787,-11172,-21528,-153681,
06/12/22,147278,311315,7185,7793,-164037,
29/11/22,140093,303522,4427,-3069,-163429,
22/11/22,135666,306591,-499,18312,-170925,
15/11/22,136165,288279,2966,2772,-152114,
08/11/22,133199,285507,-5633,-1978,-152308,
01/11/22,138832,287485,-1618,-4731,-148653,
25/10/22,140450,292216,2730,-238,-151766,
18/10/22,137720,292454,-3197,-10566,-154734,
11/10/22,140917,303020,4619,7626,-162103,
04/10/22,136298,295394,-5723,1249,-159096,
27/09/22,142021,294145,-11089,-14676,-152124,
20/09/22,153110,308821,-2835,7161,-155711,
13/09/22,155945,301660,-7714,-637,-145715,
06/09/22,163659,302297,-5265,4608,-138638,
30/08/22,168924,297689,1771,1926,-128765,
23/08/22,167153,295763,-2980,4719,-128610,
16/08/22,170133,291044,161,-4347,-120911,
09/08/22,169972,295391,-4557,-4111,-125419,
02/08/22,174529,299502,-8912,-2229,-124973,
26/07/22,183441,301731,-169,-2202,-118290,
19/07/22,183610,303933,416,-10864,-120323,
12/07/22,183194,314797,-14743,-13659,-131603,
05/07/22,197937,328456,-5267,-4167,-130519,
28/06/22,203204,332623,-10283,-11733,-129419,
21/06/22,213487,344356,-6769,615,-130869,
14/06/22,220256,343741,-14817,-5674,-123485,
07/06/22,235073,349415,6586,10560,-114342,
31/05/22,228487,338855,-1732,-2934,-110368,
24/05/22,230219,341789,-1357,-4799,-111570,
17/05/22,231576,346588,-2730,-247,-115012,
10/05/22,234306,346835,-12786,-17963,-112529,
03/05/22,247092,364798,-559,-233,-117706,
26/04/22,247651,365031,-3622,-16248,-117380,
19/04/22,251273,381279,-11328,-18871,-130006,
12/04/22,262601,400150,-4127,-3189,-137549,
05/04/22,266728,403339,17593,16793,-136611,
29/03/22,249135,386546,-146,-12072,-137411,
22/03/22,249281,398618,8799,11576,-149337,
15/03/22,240482,387042,-4610,3537,-146560,
08/03/22,245092,383505,-410,11594,-138413,
01/03/22,245502,371911,3589,-631,-126409,
22/02/22,241913,372542,7235,6440,-130629,
15/02/22,234678,366102,-6151,10184,-131424,
08/02/22,240829,355918,-1870,-6791,-115089,
01/02/22,242699,362709,8829,4304,-120010,
25/01/22,233870,358405,-3981,2507,-124535,
18/01/22,237851,355898,16455,11938,-118047,
11/01/22,221396,343960,5225,-14118,-122564,
04/01/22,216171,358078,4872,562,-141907,
