Date,Long,Short,Change long,Change short,Net position
31/10/23,15495,17241,681,1973,-1746,
24/10/23,14814,15268,2048,2829,-454,
17/10/23,12766,12439,1007,1831,327,
10/10/23,11759,10608,-205,-300,1151,
03/10/23,11964,10908,1034,1772,1056,
26/09/23,10930,9136,-1939,-2136,1794,
19/09/23,12869,11272,976,1611,1597,
12/09/23,11893,9661,-40,-233,2232,
05/09/23,11933,9894,-1244,-1776,2039,
29/08/23,13177,11670,-250,-242,1507,
22/08/23,13427,11912,1446,-781,1515,
15/08/23,11981,12693,-1004,-1441,-712,
08/08/23,12985,14134,1230,1840,-1149,
01/08/23,11755,12294,-186,-292,-539,
25/07/23,11941,12586,95,-421,-645,
18/07/23,11846,13007,-476,-1170,-1161,
11/07/23,12322,14177,-532,-753,-1855,
03/07/23,12854,14930,-149,-167,-2076,
27/06/23,13003,15097,1071,3562,-2094,
20/06/23,11932,11535,1846,2192,397,
13/06/23,10086,9343,-20,6,743,
06/06/23,10106,9337,1066,484,769,
30/05/23,9040,8853,-1084,-378,187,
23/05/23,10124,9231,69,187,893,
16/05/23,10055,9044,28,-560,1011,
09/05/23,10027,9604,342,87,423,
02/05/23,9685,9517,119,-342,168,
25/04/23,9566,9859,-2063,-2259,-293,
18/04/23,11629,12118,-587,-1220,-489,
11/04/23,12216,13338,1801,2308,-1122,
04/04/23,10415,11030,-753,-414,-615,
28/03/23,11168,11444,317,-28,-276,
21/03/23,10851,11472,267,786,-621,
14/03/23,10584,10686,477,620,-102,
07/03/23,10107,10066,-1814,-2454,41,
28/02/23,11921,12520,-267,-480,-599,
21/02/23,12188,13000,413,442,-812,
14/02/23,11775,12558,-1395,-1790,-783,
07/02/23,13170,14348,-429,-1050,-1178,
31/01/23,13599,15398,563,925,-1799,
24/01/23,13036,14473,580,1390,-1437,
17/01/23,12456,13083,467,500,-627,
10/01/23,11989,12583,242,1225,-594,
03/01/23,11747,11358,-614,-310,389,
27/12/22,12361,11668,1093,717,693,
20/12/22,11268,10951,602,245,317,
13/12/22,10666,10706,-1985,-1878,-40,
06/12/22,12651,12584,-1132,-875,67,
29/11/22,13783,13459,-448,-66,324,
22/11/22,14231,13525,135,0,706,
15/11/22,14096,13525,2793,2240,571,
08/11/22,11303,11285,2336,1866,18,
01/11/22,8967,9419,-2117,-1642,-452,
25/10/22,11084,11061,374,373,23,
18/10/22,10710,10688,-1994,-1159,22,
11/10/22,12704,11847,1223,334,857,
04/10/22,11481,11513,-421,635,-32,
27/09/22,11902,10878,745,298,1024,
20/09/22,11157,10580,889,438,577,
13/09/22,10268,10142,-2475,-1279,126,
06/09/22,12743,11421,966,940,1322,
30/08/22,11777,10481,999,667,1296,
23/08/22,10778,9814,1494,437,964,
16/08/22,9284,9377,-10,-147,-93,
09/08/22,9294,9524,-446,-797,-230,
02/08/22,9740,10321,-38,422,-581,
26/07/22,9778,9899,-1131,-1516,-121,
19/07/22,10909,11415,584,919,-506,
12/07/22,10325,10496,-317,274,-171,
05/07/22,10642,10222,-495,170,420,
28/06/22,11137,10052,642,603,1085,
21/06/22,10495,9449,499,514,1046,
14/06/22,9996,8935,1037,466,1061,
07/06/22,8959,8469,279,192,490,
31/05/22,8680,8277,-1043,-597,403,
24/05/22,9723,8874,159,116,849,
17/05/22,9564,8758,775,672,806,
10/05/22,8789,8086,668,353,703,
03/05/22,8121,7733,-408,-384,388,
26/04/22,8529,8117,266,-340,412,
19/04/22,8263,8457,56,417,-194,
12/04/22,8207,8040,-604,-1015,167,
05/04/22,8811,9055,-911,-938,-244,
29/03/22,9722,9993,1297,1568,-271,
22/03/22,8425,8425,436,626,0,
15/03/22,7989,7799,229,304,190,
08/03/22,7760,7495,-221,-406,265,
01/03/22,7981,7901,-520,-883,80,
22/02/22,8501,8784,194,262,-283,
15/02/22,8307,8522,556,452,-215,
08/02/22,7751,8070,-233,227,-319,
01/02/22,7984,7843,-694,-869,141,
25/01/22,8678,8712,261,-254,-34,
18/01/22,8417,8966,392,564,-549,
11/01/22,8025,8402,258,31,-377,
04/01/22,7767,8371,-962,-900,-604,
