Date,Long,Short,Change long,Change short,Net position
09/05/23,7056,11523,-1174,294,-4467,
02/05/23,8230,11229,1674,1017,-2999,
25/04/23,6556,10212,1209,145,-3656,
18/04/23,5347,10067,1192,-822,-4720,
11/04/23,4155,10889,1197,-72,-6734,
04/04/23,2958,10961,-1020,909,-8003,
28/03/23,3978,10052,-875,-2098,-6074,
21/03/23,4853,12150,1259,-1409,-7297,
14/03/23,3594,13559,-6800,-785,-9965,
07/03/23,10394,14344,1518,551,-3950,
28/02/23,8876,13793,1633,30,-4917,
21/02/23,7243,13763,2542,1594,-6520,
14/02/23,4701,12169,-2351,-1251,-7468,
07/02/23,7052,13420,1388,-558,-6368,
31/01/23,5664,13978,2040,846,-8314,
24/01/23,3624,13132,-295,1272,-9508,
17/01/23,3919,11860,251,822,-7941,
10/01/23,3668,11038,-2964,1552,-7370,
03/01/23,6632,9486,2703,1426,-2854,
27/12/22,3929,8060,-1072,-1005,-4131,
20/12/22,5001,9065,2920,-4827,-4064,
13/12/22,2081,13892,738,319,-11811,
06/12/22,1343,13573,-145,-2162,-12230,
29/11/22,1488,15735,-422,-651,-14247,
22/11/22,1910,16386,-361,-2712,-14476,
15/11/22,2271,19098,-2594,-2921,-16827,
08/11/22,4865,22019,-1747,623,-17154,
01/11/22,6612,21396,1074,4558,-14784,
25/10/22,5538,16838,-1514,2700,-11300,
18/10/22,7052,14138,1551,2747,-7086,
11/10/22,5501,11391,-2315,-3277,-5890,
04/10/22,7816,14668,135,1257,-6852,
27/09/22,7681,13411,-486,-1496,-5730,
20/09/22,8167,14907,463,-102,-6740,
13/09/22,7704,15009,-3178,90,-7305,
06/09/22,10882,14919,-1033,742,-4037,
30/08/22,11915,14177,2374,2231,-2262,
23/08/22,9541,11946,1768,-923,-2405,
16/08/22,7773,12869,-862,-5548,-5096,
09/08/22,8635,18417,465,-3061,-9782,
02/08/22,8170,21478,32,2041,-13308,
26/07/22,8138,19437,1190,1577,-11299,
19/07/22,6948,17860,-69,2119,-10912,
12/07/22,7017,15741,3799,2388,-8724,
05/07/22,3218,13353,-1305,239,-10135,
28/06/22,4523,13114,1455,2889,-8591,
21/06/22,3068,10225,-1223,-874,-7157,
14/06/22,4291,11099,1682,-7642,-6808,
07/06/22,2609,18741,-32,-4358,-16132,
31/05/22,2641,23099,1286,2071,-20458,
24/05/22,1355,21028,-3885,-804,-19673,
17/05/22,5240,21832,513,1342,-16592,
10/05/22,4727,20490,370,2226,-15763,
03/05/22,4357,18264,-98,940,-13907,
26/04/22,4455,17324,1555,2974,-12869,
19/04/22,2900,14350,1258,-1234,-11450,
12/04/22,1642,15584,-218,1331,-13942,
05/04/22,1860,14253,-1432,-618,-12393,
29/03/22,3292,14871,-2720,435,-11579,
22/03/22,6012,14436,204,3399,-8424,
15/03/22,5808,11037,952,-3529,-5229,
08/03/22,4856,14566,3205,-2333,-9710,
01/03/22,1651,16899,-2134,2127,-15248,
22/02/22,3785,14772,133,1405,-10987,
15/02/22,3652,13367,2418,2734,-9715,
08/02/22,1234,10633,536,1696,-9399,
01/02/22,698,8937,-1301,-1858,-8239,
25/01/22,1999,10795,1074,-940,-8796,
18/01/22,925,11735,-3646,-496,-10810,
11/01/22,4571,12231,61,-1808,-7660,
04/01/22,4510,14039,3467,2278,-9529,
